DATE,AWND,PRCP,TMAX,TMIN
12/1/22,4.47,0,56,49
12/2/22,2.01,0,58,47
12/3/22,2.01,0,71,41
12/4/22,2.01,0,66,38
12/5/22,3.58,0,60,46
12/6/22,2.24,0,57,38
12/7/22,3.13,0,58,38
12/8/22,1.57,0,60,33
12/9/22,1.12,0,60,32
12/10/22,1.12,0,61,32
12/11/22,9.17,0.21,54,37
12/12/22,2.24,0.07,47,37
12/13/22,1.12,0,54,35
12/14/22,0.89,0,58,31
12/15/22,2.01,0,63,33
12/16/22,8.5,0,64,44
12/17/22,7.38,0,62,41
12/18/22,0.89,0,62,32
12/19/22,1.12,0,64,28
12/20/22,0.89,0,66,33
12/21/22,1.57,0,72,32
12/22/22,0.89,0,70,35
12/23/22,1.12,0,70,36
12/24/22,1.57,0,78,37
12/25/22,3.36,0,82,40
12/26/22,1.34,0,79,40
12/27/22,3.13,0.2,67,46
12/28/22,2.46,0.09,61,49
12/29/22,3.36,0,56,49
12/30/22,1.12,0,56,51
12/31/22,8.5,0.43,58,51
1/1/23,5.82,0.5,55,40
1/2/23,3.36,0.06,55,39
1/3/23,4.03,0.1,54,46
1/4/23,4.47,0.09,59,53
1/5/23,7.16,0.27,60,44
1/6/23,2.91,0,65,39
1/7/23,2.24,0,66,40
1/8/23,1.57,0,65,37
1/9/23,8.95,0,62,47
1/10/23,9.17,0.23,58,46
1/11/23,1.79,0,57,39
1/12/23,6.04,0,67,41
1/13/23,1.34,0,66,39
1/14/23,4.25,1.04,52,42
1/15/23,4.25,0.54,53,45
1/16/23,7.38,0.31,57,45
1/17/23,3.13,0.01,53,38
1/18/23,1.34,0,56,33
1/19/23,2.24,0,56,31
1/20/23,4.92,0,58,33
1/21/23,1.34,0,60,28
1/22/23,4.92,0,60,28
1/23/23,13.87,0,57,34
1/24/23,1.34,0,65,30
1/25/23,3.36,0,68,29
1/26/23,5.82,0,62,38
1/27/23,0.89,0,66,30
1/28/23,2.91,0,60,31
1/29/23,6.71,0,53,40
1/30/23,1,0.01,54,40
1/31/23,9.17,0,58,34
2/1/23,4.25,0,63,30
2/2/23,2.01,0,67,28
2/3/23,2.01,0,67,37
2/4/23,2.01,0,69,32
2/5/23,3.58,0,61,37
2/6/23,12.08,0,62,39
2/7/23,3.13,0,66,34
