DATE,AWND,PRCP,TMAX,TMIN
1/1/2022,4.47,0,59,36
1/2/2022,8.05,0,63,39
1/3/2022,1.34,0,64,28
1/4/2022,1.34,0,63,31
1/5/2022,2.01,0,71,35
1/6/2022,1.34,0,76,38
1/7/2022,2.68,0,68,36
1/8/2022,2.01,0,61,40
1/9/2022,7.61,0,71,37
1/10/2022,7.38,0,67,38
1/11/2022,6.71,0,74,41
1/12/2022,4.92,0,76,38
1/13/2022,1.34,0,70,44
1/14/2022,4.7,0,76,43
1/15/2022,8.28,0,68,53
1/16/2022,2.01,0,72,47
1/17/2022,1.79,0.01,60,49
1/18/2022,4.03,0,63,52
1/19/2022,1.79,0,65,42
1/20/2022,3.58,0,73,37
1/21/2022,9.62,0,71,34
1/22/2022,12.08,0,66,41
1/23/2022,4.92,0,70,36
1/24/2022,1.34,0,71,33
1/25/2022,2.68,0,71,33
1/26/2022,6.26,0,67,34
1/27/2022,5.82,0,70,31
1/28/2022,12.08,0,67,42
1/29/2022,2.24,0,65,33
1/30/2022,2.01,0,73,30
1/31/2022,1.57,0,63,30
2/1/2022,2.01,0,59,39
2/2/2022,15.21,0,59,35
2/3/2022,4.47,0,64,29
2/4/2022,12.3,0,64,38
2/5/2022,4.92,0,69,32
2/6/2022,4.7,0,76,31
2/7/2022,7.61,0,75,43
2/8/2022,2.01,0,78,38
2/9/2022,7.38,0,83,37
2/10/2022,6.04,0,80,48
2/11/2022,4.7,0,86,40
2/12/2022,4.7,0,84,42
2/13/2022,0.89,0,83,36
2/14/2022,2.91,0,81,35
2/15/2022,9.84,0.03,59,38
2/16/2022,4.92,0,63,32
2/17/2022,4.03,0,67,35
2/18/2022,3.8,0,73,29
2/19/2022,2.01,0,77,33
2/20/2022,4.92,0,72,34
2/21/2022,6.26,0,60,44
2/22/2022,8.28,0.1,56,40
2/23/2022,4.47,0.14,50,37
2/24/2022,2.01,0,56,26
2/25/2022,2.24,0,63,27
2/26/2022,4.03,0,67,30
2/27/2022,4.47,0,74,33
2/28/2022,4.25,0,80,37
3/1/2022,3.8,0,87,33
3/2/2022,3.13,0,85,35
3/3/2022,6.04,0,76,38
3/4/2022,5.82,0,59,46
3/5/2022,7.83,0,57,39
3/6/2022,3.58,0,61,30
3/7/2022,8.72,0,66,31
3/8/2022,4.47,0,69,31
3/9/2022,4.92,0,69,33
3/10/2022,10.07,0,70,42
3/11/2022,6.93,0,70,36
3/12/2022,4.03,0,77,35
3/13/2022,4.7,0,71,35
3/14/2022,2.24,0,82,38
3/15/2022,3.8,0,81,42
3/16/2022,4.92,0,76,43
3/17/2022,4.47,0,81,46
3/18/2022,2.91,0,80,41
3/19/2022,4.92,0.11,74,48
3/20/2022,5.82,0.06,70,49
3/21/2022,8.72,0,80,41
3/22/2022,7.16,0,86,44
3/23/2022,6.04,0,86,48
3/24/2022,3.8,0,88,47
3/25/2022,4.25,0,90,49
3/26/2022,3.8,0,86,48
3/27/2022,6.93,0,79,49
3/28/2022,8.28,0.42,62,49
3/29/2022,4.47,0.01,64,48
3/30/2022,3.8,0,71,45
3/31/2022,7.16,0,66,53
4/1/2022,5.82,0,73,52
4/2/2022,4.7,0,68,48
4/3/2022,6.04,0,64,52
4/4/2022,3.36,0,77,44
4/5/2022,2.46,0,82,47
4/6/2022,4.92,0,94,51
4/7/2022,7.61,0,93,60
4/8/2022,5.37,0,96,56
4/9/2022,5.82,0,90,52
4/10/2022,6.49,0,73,55
4/11/2022,8.5,0,68,53
4/12/2022,6.49,0,67,44
4/13/2022,4.92,0,72,36
4/14/2022,4.25,0,74,39
4/15/2022,5.82,0,72,41
4/16/2022,5.59,0,61,49
4/17/2022,5.82,0,76,54
4/18/2022,6.26,0,84,55
4/19/2022,7.16,0,78,57
4/20/2022,8.5,0,73,55
4/21/2022,6.26,0,71,44
4/22/2022,8.28,0.11,62,47
4/23/2022,7.61,0,77,42
4/24/2022,6.49,0,80,55
4/25/2022,5.82,0,87,44
4/26/2022,5.14,0,82,53
4/27/2022,6.71,0,77,54
4/28/2022,6.04,0,69,51
4/29/2022,4.92,0,80,47
4/30/2022,5.59,0,85,48
5/1/2022,4.47,0,78,47
5/2/2022,5.59,0,78,55
5/3/2022,6.93,0,76,55
5/4/2022,6.49,0,88,47
5/5/2022,4.92,0,87,52
5/6/2022,4.92,0,87,52
5/7/2022,5.82,0,81,54
5/8/2022,8.28,0,71,54
5/9/2022,6.71,0,70,48
5/10/2022,6.04,0,72,45
5/11/2022,6.49,0,70,45
