date,arrive_num,acuity_1,acuity_2,acuity_3,acuity_4,acuity_5
1/1/22,240,1,48,108,73,6
1/2/22,303,5,42,137,100,15
1/3/22,281,2,51,140,77,10
1/4/22,301,7,33,130,123,7
1/5/22,306,9,50,132,95,17
1/6/22,316,4,37,157,100,17
1/7/22,286,5,30,154,89,6
1/8/22,231,3,55,102,61,4
1/9/22,236,0,22,130,72,12
1/10/22,319,5,40,153,109,11
1/11/22,300,2,38,150,99,6
1/12/22,279,2,45,130,93,6
1/13/22,259,5,41,130,73,7
1/14/22,281,1,44,152,72,12
1/15/22,223,5,38,113,60,7
1/16/22,238,2,46,118,58,13
1/17/22,280,3,41,144,84,6
1/18/22,251,4,37,138,61,7
1/19/22,250,5,49,116,70,5
1/20/22,256,2,44,136,65,6
1/21/22,259,3,32,128,89,6
1/22/22,204,3,25,114,56,1
1/23/22,228,0,55,122,49,0
1/24/22,257,3,46,126,72,8
1/25/22,238,5,45,120,62,5
1/26/22,240,2,60,104,68,3
1/27/22,243,0,54,123,59,4
1/28/22,200,4,22,116,52,5
1/29/22,201,2,42,103,50,4
1/30/22,163,3,43,79,35,2
1/31/22,246,3,46,123,68,3
2/1/22,212,1,24,119,65,2
2/2/22,242,4,33,125,76,3
2/3/22,229,5,28,122,67,5
2/4/22,241,5,38,119,73,6
2/5/22,184,1,31,90,60,1
2/6/22,238,1,53,122,58,3
2/7/22,242,3,41,121,72,5
2/8/22,234,2,42,108,77,4
2/9/22,264,4,62,148,46,4
2/10/22,244,2,40,129,70,0
2/11/22,248,3,35,135,70,5
2/12/22,226,0,33,114,76,0
2/13/22,208,4,35,114,52,0
2/14/22,271,2,40,150,71,5
2/15/22,253,4,35,131,72,11
2/16/22,255,1,28,147,72,6
2/17/22,234,3,36,130,59,3
2/18/22,225,1,25,139,57,3
2/19/22,204,3,25,113,62,0
2/20/22,207,3,35,97,59,12
2/21/22,222,1,35,108,68,9
2/22/22,219,3,30,108,72,5
2/23/22,249,6,46,133,54,10
2/24/22,205,2,39,124,38,1
2/25/22,244,6,26,129,74,6
2/26/22,189,2,33,98,47,8
2/27/22,203,7,41,97,52,2
2/28/22,248,5,36,128,74,4
3/1/22,219,3,24,120,65,4
3/2/22,227,4,33,124,64,2
3/3/22,250,2,22,160,61,5
3/4/22,250,2,32,142,69,1
3/5/22,225,0,50,101,72,2
3/6/22,192,1,34,107,39,10
3/7/22,277,3,29,157,78,6
3/8/22,236,3,31,138,59,4
3/9/22,258,3,55,132,67,1
3/10/22,254,0,48,101,97,6
3/11/22,240,3,43,114,79,1
3/12/22,199,0,26,103,65,4
3/13/22,206,3,35,130,34,2
3/14/22,258,3,34,141,73,5
3/15/22,270,5,45,143,69,8
3/16/22,253,3,45,136,59,6
3/17/22,243,4,42,135,56,2
3/18/22,239,5,47,136,44,4
3/19/22,220,4,50,113,47,4
3/20/22,213,4,37,113,52,6
3/21/22,265,5,33,138,86,3
3/22/22,236,1,38,136,55,4
3/23/22,245,2,38,123,78,4
3/24/22,272,6,50,139,65,10
3/25/22,263,3,42,159,52,6
3/26/22,218,4,25,124,61,1
3/27/22,239,3,35,124,64,6
3/28/22,263,3,49,121,83,4
3/29/22,268,1,53,121,88,3
3/30/22,238,2,34,135,55,7
3/31/22,261,6,39,141,69,4
4/1/22,222,3,27,118,65,5
4/2/22,209,1,44,107,52,1
4/3/22,197,1,37,95,49,11
4/4/22,295,5,46,171,67,3
4/5/22,264,2,49,136,72,2
4/6/22,279,2,55,125,85,9
4/7/22,241,1,39,137,54,5
4/8/22,256,5,31,147,70,3
4/9/22,242,3,45,129,60,1
4/10/22,245,0,50,119,69,5
4/11/22,265,2,26,154,73,8
4/12/22,253,3,53,123,64,6
4/13/22,228,5,33,140,47,2
4/14/22,249,4,35,145,56,7
4/15/22,218,3,44,110,56,5
4/16/22,212,4,29,105,67,6
4/17/22,230,2,31,139,51,6
4/18/22,295,1,42,130,110,10
4/19/22,279,2,37,149,82,7
4/20/22,261,2,39,138,74,6
4/21/22,219,2,28,111,67,8
4/22/22,259,5,32,135,78,6
4/23/22,206,4,19,105,69,6
4/24/22,242,3,34,133,62,5
4/25/22,275,3,37,146,82,5
4/26/22,304,1,51,170,77,4
4/27/22,277,1,37,160,69,8
4/28/22,236,1,32,123,71,8
4/29/22,245,4,50,136,45,9
4/30/22,252,6,35,138,59,8
5/1/22,240,3,39,139,52,7
5/2/22,285,3,42,152,76,10
5/3/22,288,3,60,144,72,3
5/4/22,256,2,39,137,70,6
5/5/22,298,2,68,150,65,11
5/6/22,267,0,39,126,91,7
5/7/22,236,3,33,116,73,8
5/8/22,212,1,36,114,59,1
5/9/22,282,2,43,151,77,4
5/10/22,289,2,41,152,88,5
5/11/22,251,4,35,124,81,6
5/12/22,301,1,40,170,88,1
5/13/22,256,1,44,124,83,4
5/14/22,272,4,52,126,84,6
5/15/22,225,6,37,105,69,5
5/16/22,317,7,30,150,119,7
5/17/22,263,2,45,119,91,5
5/18/22,305,3,50,181,66,2
5/19/22,244,2,29,129,79,5
5/20/22,249,5,30,135,78,0
5/21/22,221,0,46,106,62,4
5/22/22,264,1,56,129,70,7
5/23/22,322,3,55,175,82,5
5/24/22,297,0,48,145,90,12
5/25/22,258,1,37,133,78,4
5/26/22,294,3,42,136,105,7
5/27/22,241,0,38,128,71,3
5/28/22,215,3,31,123,52,2
5/29/22,231,2,43,112,66,6
5/30/22,257,1,34,130,80,10
5/31/22,304,3,44,144,99,11
6/1/22,280,4,53,144,58,16
6/2/22,253,3,38,126,79,5
6/3/22,275,4,42,143,82,4
6/4/22,222,0,34,117,66,3
6/5/22,234,2,40,110,76,5
6/6/22,306,4,43,142,106,8
6/7/22,289,1,32,150,89,14
6/8/22,272,4,72,137,55,3
6/9/22,268,2,29,162,67,8
6/10/22,268,1,40,157,60,6
6/11/22,241,0,32,128,69,10
6/12/22,261,2,36,141,74,6
6/13/22,301,0,34,167,89,9
6/14/22,271,3,41,127,81,16
6/15/22,272,2,48,136,77,7
6/16/22,246,4,51,112,70,4
6/17/22,255,1,26,135,75,11
6/18/22,245,4,32,128,80,1
6/19/22,239,5,35,125,69,5
6/20/22,279,1,47,165,57,4
6/21/22,293,1,39,171,69,9
6/22/22,281,0,26,125,113,15
6/23/22,272,1,37,145,76,8
6/24/22,248,2,37,121,83,4
6/25/22,223,2,43,123,45,9
6/26/22,270,7,42,124,81,10
6/27/22,293,4,48,158,74,6
6/28/22,262,4,29,156,71,2
6/29/22,267,2,34,146,65,19
6/30/22,285,4,38,159,78,4
7/1/22,265,3,37,139,79,4
7/2/22,255,2,25,138,80,10
7/3/22,240,1,26,122,76,12
7/4/22,222,3,31,119,60,7
7/5/22,285,0,24,160,93,5
7/6/22,304,1,32,149,103,13
7/7/22,266,1,30,157,71,6
7/8/22,302,2,39,175,78,3
7/9/22,240,2,41,127,61,7
7/10/22,252,4,37,133,68,5
7/11/22,310,1,37,168,96,6
7/12/22,267,1,34,148,72,7
7/13/22,277,2,49,146,73,6
7/14/22,265,10,26,133,80,13
7/15/22,273,2,49,143,76,1
7/16/22,257,3,41,140,63,8
7/17/22,257,2,53,124,71,5
7/18/22,280,2,51,148,75,2
7/19/22,277,2,39,141,87,7
7/20/22,261,2,37,149,67,5
7/21/22,271,2,40,143,79,2
7/22/22,290,2,41,150,88,8
7/23/22,232,8,26,113,79,5
7/24/22,246,4,27,139,65,4
7/25/22,303,1,30,174,84,11
7/26/22,242,1,48,135,52,4
7/27/22,240,0,41,130,62,2
7/28/22,253,0,39,157,50,6
7/29/22,240,2,45,133,54,2
7/30/22,215,1,45,101,65,2
7/31/22,207,3,43,106,46,7
8/1/22,271,2,35,143,83,7
