date,arrive_num,acuity_1,acuity_2,acuity_3,acuity_4,acuity_5,day_of_week,week_of_year
12/1/22,303,1,37,150,101,11,thurs,49
12/2/22,286,1,33,156,87,8,fri,49
12/3/22,280,6,44,137,90,1,sat,49
12/4/22,245,6,45,117,73,0,sun,50
12/5/22,278,3,31,139,100,0,mon,50
12/6/22,304,1,34,161,99,4,tues,50
12/7/22,225,1,27,123,69,4,wed,50
12/8/22,280,1,41,154,75,5,thurs,50
12/9/22,275,3,34,148,83,5,fri,50
12/10/22,226,1,30,120,68,4,sat,50
12/11/22,214,2,28,127,56,0,sun,51
12/12/22,238,0,35,134,68,1,mon,51
12/13/22,261,1,23,148,83,5,tues,51
12/14/22,245,0,35,149,53,3,wed,51
12/15/22,278,4,48,150,67,8,thurs,51
12/16/22,256,0,35,160,59,1,fri,51
12/17/22,250,4,45,136,60,4,sat,51
12/18/22,232,1,38,134,52,4,sun,52
12/19/22,244,1,44,114,78,6,mon,52
12/20/22,256,3,41,145,64,0,tues,52
12/21/22,250,0,37,135,73,5,wed,52
12/22/22,271,1,27,153,78,8,thurs,52
12/23/22,243,3,40,142,44,6,fri,52
12/24/22,181,0,20,100,55,5,sat,52
12/25/22,261,3,44,120,84,3,sun,53
12/26/22,317,1,44,160,102,9,mon,53
12/27/22,258,4,39,137,69,4,tues,53
12/28/22,282,1,40,168,68,2,wed,53
12/29/22,266,4,40,138,74,2,thurs,53
12/30/22,255,1,40,138,63,13,fri,53
12/31/22,212,1,26,120,60,2,sat,53
1/1/23,251,2,37,139,63,8,sun,1
1/2/23,252,2,42,112,89,4,mon,1
1/3/23,250,0,25,152,61,8,tues,1
1/4/23,282,1,57,162,58,3,wed,1
1/5/23,262,2,28,165,63,1,thurs,1
1/6/23,240,1,40,122,70,6,fri,1
1/7/23,244,2,38,146,57,1,sat,1
1/8/23,226,1,42,117,65,0,sun,2
1/9/23,258,1,36,126,83,4,mon,2
1/10/23,259,4,30,140,76,7,tues,2
1/11/23,265,0,47,143,70,4,wed,2
1/12/23,244,2,44,125,72,1,thurs,2
1/13/23,258,1,31,148,73,1,fri,2
1/14/23,239,4,41,127,58,6,sat,2
1/15/23,229,0,46,113,67,2,sun,3
1/16/23,281,2,42,158,73,5,mon,3
1/17/23,279,2,59,148,68,2,tues,3
1/18/23,277,4,30,162,72,7,wed,3
1/19/23,226,4,35,119,60,6,thurs,3
1/20/23,245,2,26,148,65,3,fri,3
1/21/23,216,3,33,132,46,2,sat,3
1/22/23,214,1,44,120,46,3,sun,4
1/23/23,291,0,57,149,77,6,mon,4
1/24/23,273,0,55,149,62,3,tues,4
1/25/23,257,0,43,139,71,2,wed,4
1/26/23,260,1,22,168,57,9,thurs,4
1/27/23,264,2,45,149,55,11,fri,4
1/28/23,232,2,37,127,58,8,sat,4
1/29/23,232,0,25,144,57,1,sun,5
1/30/23,295,1,43,155,90,5,mon,5
1/31/23,276,0,42,157,72,4,tues,5
2/1/23,273,3,42,158,62,4,wed,5
2/2/23,302,4,48,157,86,5,thurs,5
2/3/23,270,1,43,150,64,10,fri,5
2/4/23,233,2,45,124,58,2,sat,5
2/5/23,247,4,53,113,69,8,sun,6
2/6/23,292,3,49,148,87,5,mon,6
2/7/23,296,0,41,158,92,3,tues,6
